1,Программное обеспечение Интеллект - Ядро системы и система защиты Guardant	
2,ПО Удалённое рабочее место (УРМ / УРМА)	
3,Программное обеспечение Интеллект - Подключение видеокамеры	
4,"ПО обработки звуковых сигналов, за один канал.	"
5,Программное обеспечение  Получения событий от внешних устройств	
6,ПО сервера метаданных VMDA	
7,Программное обеспечение Интеллект - Долговременный архив (резервная копия архива)	
8,Программное обеспечение Интеллект - Видеошлюз	
9,Программное обеспечение Интеллект - Подключение панели видеодомофона	
10,Программное обеспечение Интеллект - Агент контроля (Объект комплексного мониторинга)	
11,Программное обеспечение Интеллект - Сервер контроля (Рабочее место комплексного мониторинга) X2 При наличии объектов СКД	
12,ПО подсчета очередиПрограммное обеспечение Интеллект - Шлюз данных cервера контроля	
13,Программное обеспечение Интеллект - Сервер контроля УРМ (Дополнительное рабочее место комплексного мониторинга)	
14,Просмотр встроенных хранилищ видеокамер	
15,ПО управления поворотными устройствами  (за один канал) 	
16,По подключения спец клавиатуры или джойстика  для управления поворотными устройствами. 	
17,Программное обеспечение Интеллект - Сервис отказоустойчивости (Failover)	
18,Программное обеспечение Интеллект - Сити	
20,Программное обеспечение Аксон Некст - Система защиты (Windows/Linux)	
21,Программное обеспечение - Подключение видеокамеры	
22,Просмотр встроенных хранилищ видеокамер	
23,Программное обеспечение Аксон Некст - Получения событий от внешних устройств	
24,Сross-System Клиент	
25,Функция Tag&Track Pro	
26,Отчеты AxxonNet	
27,"Локальное облако AxxonNext (Отчеты  Auto, Face, Web клиент, Dashboards) 	"
28,Репликация архивов	
29,Failover (Сервер отказоустойчивости) 	
30,Управление видеостенами	
31,Поддержка LDAP пользователей	
32,Анализ внешних видеозаписей (Offline analytics)	
33,Интерактивная 3D-карта (Open street Map)	
34,Tag&Track Lite	
35,ПО управления поворотными устройствами  (за один канал) 	
36,По подключения спец клавиатуры или джойстика  для управления поворотными устройствами. 	
37,ПО Удалённое рабочее место (AxxonNext)	
39,Программное обеспечение Аксон Некст - Нейротрекер (Нейросчётчик) объектов
40,Программное обеспечение Аксон Некст - Аналитика поведения человека
41,ПО трекинга (за канал)                         Программное обеспечение Интеллект - Нейросетевой фильтр (опционально)	
42,Программное обеспечение Интеллект - Детектор источников света (Интеллект)	
